"","Stage","Date","Distance_km","Type","Winner","Type_general"
"926","11",1976-07-06,224,"Mountain Stage","José-Luis Viejo","mountain"
"927","12",1976-07-08,205,"Mountain Stage","Raymond Delisle","mountain"
"928","13",1976-07-09,188,"Mountain Stage","Willy Teirlinck","mountain"
"929","14",1976-07-10,139,"Mountain Stage","Lucien Van Impe","mountain"
"930","15",1976-07-11,195,"Mountain Stage","Wladimiro Panizza","mountain"
"931","16",1976-07-12,152,"Flat Stage","Michel Pollentier","flat"
"932","17",1976-07-13,39,"Individual time trial","Ferdinand Bracke","time trial"
"933","18a",1976-07-14,86,"Half Stage","Freddy Maertens","other"
"934","18b",1976-07-14,123,"Half Stage","Freddy Maertens","other"
"935","18c",1976-07-14,70,"Half Stage","Gerben Karstens","other"
"936","19",1976-07-15,220,"Flat Stage","Hubert Mathis","flat"
"937","20",1976-07-16,220,"Mountain Stage","Joop Zoetemelk","mountain"
"938","21",1976-07-17,145,"Flat Stage","Freddy Maertens","flat"
"939","22a",1976-07-18,6,"Individual time trial","Freddy Maertens","time trial"
"940","22b",1976-07-18,91,"Half Stage","Gerben Karstens","other"
"941","P",1975-06-26,6,"Individual time trial","Francesco Moser","time trial"
"942","1a",1975-06-27,94,"Plain stage","Cees Priem","flat"
"943","1b",1975-06-27,109,"Plain stage","Rik Van Linden","flat"
"944","2",1975-06-28,121,"Plain stage","Ronald de Witte","flat"
"945","3",1975-06-29,170,"Plain stage","Karel Rottiers","flat"
"946","4",1975-06-30,223,"Plain stage","Jacques Esclassan","flat"
"947","5",1975-07-02,222,"Plain stage","Theo Smit","flat"
"948","6",1975-07-02,16,"Individual time trial","Eddy Merckx","time trial"
"949","7",1975-07-03,236,"Plain stage","Francesco Moser","flat"
"950","8",1975-07-04,134,"Plain stage","Barry Hoban","flat"
"951","9a",1975-07-05,131,"Plain stage","Theo Smit","flat"
"952","9b",1975-07-05,37,"Individual time trial","Eddy Merckx","time trial"
"953","10",1975-07-07,206,"Stage with mountain(s)","Felice Gimondi","mountain"
"954","11",1975-07-08,160,"Stage with mountain(s)","Joop Zoetemelk","mountain"
"955","12",1975-07-09,242,"Plain stage","Gerrie Knetemann","flat"
"956","13",1975-07-10,260,"Stage with mountain(s)","Michel Pollentier","mountain"
"957","14",1975-07-11,174,"Stage with mountain(s)","Lucien Van Impe","mountain"
"958","15",1975-07-13,217,"Stage with mountain(s)","Bernard Thévenet","mountain"
"959","16",1975-07-14,107,"Stage with mountain(s)","Bernard Thévenet","mountain"
"960","17",1975-07-15,225,"Stage with mountain(s)","Vicente Lopez-Carril","mountain"
"961","18",1975-07-16,40,"Individual time trial","Lucien Van Impe","time trial"
"962","19",1975-07-17,229,"Stage with mountain(s)","Rik Van Linden","mountain"
"963","20",1975-07-18,256,"Plain stage","Giacinto Santambrogio","flat"
"964","21",1975-07-19,220,"Plain stage","Rik Van Linden","flat"
"965","22",1975-07-20,164,"Plain stage","Walter Godefroot","flat"
"966","P",1974-06-27,7,"Individual time trial","Eddy Merckx","time trial"
"967","1",1974-06-28,144,"Plain stage","Ercole Gualazzini","flat"
"968","2",1974-06-29,164,"Plain stage","Henk Poppe","flat"
"969","3",1974-06-30,190,"Plain stage","Patrick Sercu","flat"
"970","4",1974-07-01,184,"Plain stage","Patrick Sercu","flat"
"971","5",1974-07-02,165,"Plain stage","Ronald de Witte","flat"
"972","6a",1974-07-03,239,"Plain stage","Jean-Luc Molineris","flat"
"973","6b",1974-07-03,9,"Team time trial","Molteni","time trial"
"974","7",1974-07-04,221,"Plain stage","Eddy Merckx","flat"
"975","8a",1974-07-05,136,"Plain stage","Cyrille Guimard","flat"
"976","8b",1974-07-05,152,"Plain stage","Patrick Sercu","flat"
"977","9",1974-07-06,241,"Stage with mountain(s)","Eddy Merckx","mountain"
"978","10",1974-07-07,131,"Stage with mountain(s)","Eddy Merckx","mountain"
"979","11",1974-07-08,199,"Stage with mountain(s)","Vicente Lopez Carril","mountain"
"980","12",1974-07-10,231,"Stage with mountain(s)","Jos Spruyt","mountain"
"981","13",1974-07-11,126,"Plain stage","Barry Hoban","flat"
"982","14",1974-07-12,249,"Plain stage","Jean-Pierre Genet","flat"
"983","15",1974-07-14,225,"Stage with mountain(s)","Eddy Merckx","mountain"
"984","16",1974-07-15,209,"Stage with mountain(s)","Raymond Poulidor","mountain"
"985","17",1974-07-16,119,"Stage with mountain(s)","Jean-Pierre Danguillaume","mountain"
"986","18",1974-07-17,141,"Stage with mountain(s)","Jean-Pierre Danguillaume","mountain"
"987","19a",1974-07-18,196,"Plain stage","Francis Campaner","flat"
"988","19b",1974-07-18,12,"Individual time trial","Eddy Merckx","time trial"
"989","20",1974-07-19,120,"Plain stage","Gerard Vianen","flat"
"990","21a",1974-07-20,113,"Plain stage","Eddy Merckx","flat"
"991","21b",1974-07-20,37,"Individual time trial","Michel Pollentier","time trial"
"992","22",1974-07-21,146,"Plain stage","Eddy Merckx","flat"
"993","P",1973-06-30,7.1,"Individual time trial","Joop Zoetemelk","time trial"
"994","1a",1973-07-01,84,"Plain stage","Willy Teirlinck","flat"
"995","1b",1973-07-01,137.5,"Plain stage","José Catieau","flat"
"996","2a",1973-07-02,12.4,"Team time trial","Watney–Maes Pils","time trial"
"997","2b",1973-07-02,138,"Plain stage","Eddy Verstraeten","flat"
"998","3",1973-07-03,226,"Plain stage","Cyrille Guimard","flat"
"999","4",1973-07-04,214,"Plain stage","Joop Zoetemelk","flat"
"1000","5",1973-07-05,188,"Stage with mountain(s)","Walter Godefroot","mountain"
"1001","6",1973-07-06,244.5,"Stage with mountain(s)","Jean-Pierre Danguillaume","mountain"
"1002","7a",1973-07-08,86.5,"Stage with mountain(s)","Luis Ocaña","mountain"
"1003","7b",1973-07-08,150.5,"Stage with mountain(s)","Bernard Thévenet","mountain"
"1004","8",1973-07-09,237.5,"Stage with mountain(s)","Luis Ocaña","mountain"
"1005","9",1973-07-10,234.5,"Stage with mountain(s)","Vicente López Carril","mountain"
"1006","10",1973-07-11,222.5,"Stage with mountain(s)","Michael Wright","mountain"
"1007","11",1973-07-12,238,"Plain stage","Barry Hoban","flat"
"1008","12a",1973-07-13,28.3,"Individual time trial","Luis Ocaña","time trial"
"1009","12b",1973-07-13,76,"Stage with mountain(s)","Lucien Van Impe","mountain"
"1010","13",1973-07-15,235,"Stage with mountain(s)","Luis Ocaña","mountain"
"1011","14",1973-07-16,227.5,"Stage with mountain(s)","Pedro Torres","mountain"
"1012","15",1973-07-17,137,"Plain stage","Wilfried David","flat"
"1013","16a",1973-07-18,210,"Plain stage","Walter Godefroot","flat"
"1014","16b",1973-07-18,12.4,"Individual time trial","Joaquim Agostinho","time trial"
"1015","17",1973-07-19,248,"Plain stage","Claude Tollet","flat"
"1016","18",1973-07-20,216.5,"Stage with mountain(s)","Luis Ocaña","mountain"
"1017","19",1973-07-21,233.5,"Plain stage","Barry Hoban","flat"
"1018","20a",1973-07-22,16,"Individual time trial","Luis Ocaña","time trial"
"1019","20b",1973-07-22,89,"Plain stage","Bernard Thévenet","flat"
"1020","P",1972-07-01,7.2,"Individual time trial","Eddy Merckx","time trial"
"1021","1",1972-07-02,235.5,"Plain stage","Cyrille Guimard","flat"
"1022","2",1972-07-03,206.5,"Plain stage","Rik Van Linden","flat"
"1023","3a",1972-07-04,161,"Plain stage","Ercole Gualazzini","flat"
"1024","3b",1972-07-04,16.2,"Team time trial","Molteni","time trial"
"1025","4",1972-07-05,236,"Plain stage","Cyrille Guimard","flat"
"1026","5a",1972-07-06,133.5,"Plain stage","Walter Godefroot","flat"
"1027","5b",1972-07-06,12.7,"Individual time trial","Eddy Merckx","time trial"
"1028","6",1972-07-07,205,"Plain stage","Leo Duyndam","flat"
"1029","7",1972-07-09,220.5,"Stage with mountain(s)","Yves Hézard","mountain"
"1030","8",1972-07-10,163.5,"Stage with mountain(s)","Eddy Merckx","mountain"
"1031","9",1972-07-11,179,"Hilly stage","Jos Huysmans","mountain"
"1032","10",1972-07-12,210,"Plain stage","Willy Teirlinck","flat"
"1033","11",1972-07-13,207,"Stage with mountain(s)","Bernard Thévenet","mountain"
"1034","12",1972-07-14,192,"Stage with mountain(s)","Lucien Van Impe","mountain"
"1035","13",1972-07-16,201,"Stage with mountain(s)","Eddy Merckx","mountain"
"1036","14a",1972-07-17,51,"Stage with mountain(s)","Eddy Merckx","mountain"
"1037","14b",1972-07-17,151,"Stage with mountain(s)","Cyrille Guimard","mountain"
"1038","15",1972-07-18,28,"Stage with mountain(s)","Cyrille Guimard","mountain"
"1039","16",1972-07-19,198.5,"Hilly stage","Willy Teirlinck","mountain"
"1040","17",1972-07-20,213,"Hilly stage","Bernard Thévenet","mountain"
"1041","18",1972-07-21,257.5,"Plain stage","Marinus Wagtmans","flat"
"1042","19",1972-07-22,230,"Plain stage","Joseph Bruyère","flat"
"1043","20a",1972-07-23,42,"Individual time trial","Eddy Merckx","time trial"
"1044","20b",1972-07-23,89,"Plain stage","Willy Teirlinck","flat"
"1045","P",1971-06-26,11,"Team time trial","Molteni","time trial"
"1046","1a",1971-06-27,59.5,"Stage with mountain(s)","Eric Leman","mountain"
"1047","1b",1971-06-27,90,"Plain stage","Gerben Karstens","flat"
"1048","1c",1971-06-27,74.5,"Plain stage","Albert Van Vlierberghe","flat"
"1049","2",1971-06-28,144,"Stage with mountain(s)","Eddy Merckx","mountain"
"1050","3",1971-06-29,165.5,"Stage with mountain(s)","Rini Wagtmans","mountain"
"1051","4",1971-06-30,242,"Plain stage","Jean-Pierre Genet","flat"
"1052","5",1971-07-01,208.5,"Stage with mountain(s)","Pietro Guerra","mountain"
"1053","6a",1971-07-02,127.5,"Plain stage","Eric Leman","flat"
"1054","6b",1971-07-02,133.5,"Plain stage","Mauro Simonetti","flat"
"1055","7",1971-07-04,257.5,"Plain stage","Eric Leman","flat"
"1056","8",1971-07-05,221,"Stage with mountain(s)","Luis Ocaña","mountain"
"1057","9",1971-07-06,153,"Stage with mountain(s)","Walter Godefroot","mountain"
"1058","10",1971-07-07,188.5,"Stage with mountain(s)","Bernard Thévenet","mountain"
"1059","11",1971-07-08,134,"Stage with mountain(s)","Luis Ocaña","mountain"
"1060","12",1971-07-10,251,"Plain stage","Luciano Armani","flat"
"1061","13",1971-07-11,16.3,"Individual time trial","Eddy Merckx","time trial"
"1062","14",1971-07-12,214.5,"Stage with mountain(s)","José Manuel Fuente","mountain"
"1063","15",1971-07-13,19.6,"Stage with mountain(s)","José Manuel Fuente","mountain"
"1064","16a",1971-07-14,145,"Stage with mountain(s)","Bernard Labourdette","mountain"
"1065","16b",1971-07-14,57.5,"Plain stage","Herman Van Springel","flat"
"1066","17",1971-07-15,188,"Plain stage","Eddy Merckx","flat"
"1067","18",1971-07-16,244,"Plain stage","Jean-Pierre Danguillaume","flat"
"1068","19",1971-07-17,185,"Plain stage","Jan Krekels","flat"
"1069","20",1971-07-18,53.8,"Individual time trial","Eddy Merckx","time trial"
"1070","P",1970-06-27,7.4,"Individual time trial","Eddy Merckx","time trial"
"1071","1",1970-06-27,224.5,"Plain stage","Cyrille Guimard","flat"
"1072","2",1970-06-28,200,"Plain stage","Italo Zilioli","flat"
"1073","3a",1970-06-29,10.7,"Team time trial","Faemino–Faema","time trial"
"1074","3b",1970-06-29,140,"Plain stage","Marino Basso","flat"
"1075","4",1970-06-30,229,"Plain stage","Walter Godefroot","flat"
"1076","5a",1970-07-01,94.5,"Plain stage","Walter Godefroot","flat"
"1077","5b",1970-07-01,223,"Plain stage","Jozef Spruyt","flat"
"1078","6",1970-07-02,135.5,"Plain stage","Roger De Vlaeminck","flat"
"1079","7a",1970-07-03,120,"Plain stage","Eddy Merckx","flat"
"1080","7b",1970-07-03,7.2,"Individual time trial","José Antonio Gonzalez Linares","time trial"
"1081","8",1970-07-04,232.5,"Plain stage","Alain Vasseur","flat"
"1082","9",1970-07-05,269.5,"Stage with mountain(s)","Mogens Frey","mountain"
"1083","10",1970-07-06,241,"Stage with mountain(s)","Eddy Merckx","mountain"
"1084","11a",1970-07-07,8.8,"Individual time trial","Eddy Merckx","time trial"
"1085","11b",1970-07-07,139.5,"Stage with mountain(s)","Marino Basso","mountain"
"1086","12",1970-07-08,194,"Stage with mountain(s)","Eddy Merckx","mountain"
"1087","13",1970-07-09,194.5,"Stage with mountain(s)","Primo Mori","mountain"
"1088","14",1970-07-10,170,"Stage with mountain(s)","Eddy Merckx","mountain"
"1089","15",1970-07-11,140.5,"Plain stage","Marinus Wagtmans","flat"
"1090","16",1970-07-12,160,"Plain stage","Albert Van Vlierberghe","flat"
"1091","17",1970-07-13,190,"Plain stage","Luis Ocaña","flat"
"1092","18",1970-07-14,135.5,"Stage with mountain(s)","Bernard Thévenet","mountain"
"1093","19",1970-07-15,185.5,"Stage with mountain(s)","Christian Raymond","mountain"
"1094","20a",1970-07-16,223.5,"Plain stage","Rolf Wolfshohl","flat"
"1095","20b",1970-07-16,8.2,"Individual time trial","Eddy Merckx","time trial"
"1096","21",1970-07-17,191.5,"Plain stage","Marino Basso","flat"
"1097","22",1970-07-18,238.5,"Plain stage","Jean-Pierre Danguillaume","flat"
"1098","23",1970-07-19,54,"Individual time trial","Eddy Merckx","time trial"
"1099","P",1969-06-28,10,"Individual time trial","Rudi Altig","time trial"
"1100","1a",1969-06-29,147,"Plain stage","Marino Basso","flat"
"1101","1b",1969-06-29,16,"Team time trial","Faema","time trial"
"1102","2",1969-06-30,182,"Plain stage","Julien Stevens","flat"
"1103","3",1969-07-01,213,"Plain stage","Eric Leman","flat"
"1104","4",1969-07-02,214,"Plain stage","Rik Van Looy","flat"
"1105","5",1969-07-03,194,"Stage with mountain(s)","Joaquim Agostinho","mountain"
"1106","6",1969-07-04,133,"Stage with mountain(s)","Eddy Merckx","mountain"
"1107","7",1969-07-05,241,"Stage with mountain(s)","Mariano Diaz","mountain"
"1108","8a",1969-07-06,9,"Individual time trial","Eddy Merckx","time trial"
"1109","8b",1969-07-06,137,"Stage with mountain(s)","Michele Dancelli","mountain"
"1110","9",1969-07-07,111,"Stage with mountain(s)","Roger Pingeon","mountain"
"1111","10",1969-07-08,221,"Stage with mountain(s)","Herman Van Springel","mountain"
"1112","11",1969-07-09,198,"Stage with mountain(s)","Eddy Merckx","mountain"
"1113","12",1969-07-10,161,"Stage with mountain(s)","Felice Gimondi","mountain"
"1114","13",1969-07-11,196,"Plain stage","Guido Reybrouck","flat"
"1115","14",1969-07-12,234,"Plain stage","Joaquim Agostinho","flat"
"1116","15",1969-07-13,19,"Individual time trial","Eddy Merckx","time trial"
"1117","16",1969-07-14,199,"Stage with mountain(s)","Raymond Delisle","mountain"
"1118","17",1969-07-15,214,"Stage with mountain(s)","Eddy Merckx","mountain"
"1119","18",1969-07-16,201,"Plain stage","Barry Hoban","flat"
"1120","19",1969-07-17,193,"Plain stage","Barry Hoban","flat"
"1121","20",1969-07-18,198,"Stage with mountain(s)","Pierre Matignon","mountain"
"1122","21",1969-07-19,329,"Plain stage","Herman Van Springel","flat"
"1123","22a",1969-07-20,111,"Plain stage","Jozef Spruyt","flat"
"1124","22b",1969-07-20,37,"Individual time trial","Eddy Merckx","time trial"
"1125","1a",1968-06-27,6.1,"Individual time trial","Charly Grosskost","time trial"
"1126","1b",1968-06-28,189,"Plain stage","Charly Grosskost","flat"
"1127","2",1968-06-29,210.5,"Plain stage","Eric de Vlaeminck","flat"
"1128","3a",1968-06-30,22,"Team time trial","Belgium A","time trial"
"1129","3b",1968-06-30,112,"Plain stage","Walter Godefroot","flat"
"1130","4",1968-07-01,238,"Plain stage","Georges Chappe","flat"
"1131","5a",1968-07-02,165,"Plain stage","André Desvages","flat"
"1132","5b",1968-07-02,154.5,"Plain stage","Jean Dumont","flat"
"1133","6",1968-07-03,188,"Plain stage","Aurelio González Puente","flat"
"1134","7",1968-07-04,190,"Plain stage","Franco Bitossi","flat"
"1135","8",1968-07-05,223,"Plain stage","Daniel van Ryckeghem","flat"
"1136","9",1968-07-07,137.5,"Plain stage","Walter Godefroot","flat"
"1137","10",1968-07-08,202.5,"Plain stage","Gilbert Bellone","flat"
"1138","11",1968-07-09,183.5,"Plain stage","Daniel van Ryckeghem","flat"
"1139","12",1968-07-10,226.5,"Stage with mountain(s)","Georges Pintens","mountain"
"1140","13",1968-07-11,208.5,"Stage with mountain(s)","Herman Van Springel","mountain"
"1141","14",1968-07-12,231.5,"Stage with mountain(s)","Jan Janssen","mountain"
"1142","15",1968-07-14,250.5,"Plain stage","Roger Pingeon","flat"
"1143","16",1968-07-15,199,"Plain stage","Franco Bitossi","flat"
"1144","17",1968-07-16,236.5,"Stage with mountain(s)","Jean-Pierre Genet","mountain"
"1145","18",1968-07-17,235,"Stage with mountain(s)","Roger Pingeon","mountain"
"1146","19",1968-07-18,200,"Stage with mountain(s)","Barry Hoban","mountain"
"1147","20",1968-07-19,242.5,"Stage with mountain(s)","Jozef Huysmans","mountain"
"1148","21",1968-07-20,242,"Plain stage","Eric Leman","flat"
"1149","22a",1968-07-21,136,"Plain stage","Maurice Izier","flat"
"1150","22b",1968-07-21,55.2,"Individual time trial","Jan Janssen","time trial"
"1151","1a",1967-06-29,5.775,"Individual time trial","José-Maria Errandonea","time trial"
"1152","1b",1967-06-30,185.5,"Plain stage","Walter Godefroot","flat"
"1153","2",1967-07-01,180,"Plain stage","Willy Van Neste","flat"
"1154","3",1967-07-02,248,"Plain stage","Marino Basso","flat"
"1155","4",1967-07-03,191,"Plain stage","Guido Reybrouck","flat"
"1156","5a",1967-07-04,172,"Plain stage","Roger Pingeon","flat"
"1157","5b",1967-07-04,17,"Team time trial","Belgium","time trial"
"1158","6",1967-07-05,238,"Plain stage","Herman Van Springel","flat"
"1159","7",1967-07-06,205.5,"Stage with mountain(s)","Michael Wright","mountain"
"1160","8",1967-07-07,215,"Stage with mountain(s)","Lucien Aimar","mountain"
"1161","9",1967-07-09,238.5,"Stage with mountain(s)","Guido Reybrouck","mountain"
"1162","10",1967-07-10,243,"Stage with mountain(s)","Felice Gimondi","mountain"
"1163","11",1967-07-11,197,"Stage with mountain(s)","José Samyn","mountain"
"1164","12",1967-07-12,207.5,"Plain stage","Raymond Riotte","flat"
"1165","13",1967-07-13,211.5,"Stage with mountain(s)","Jan Janssen","mountain"
"1166","14",1967-07-14,201.5,"Plain stage","Barry Hoban","flat"
"1167","15",1967-07-16,230.5,"Plain stage","Rolf Wolfshohl","flat"
"1168","16",1967-07-17,188,"Stage with mountain(s)","Fernando Manzaneque","mountain"
"1169","17",1967-07-18,250,"Stage with mountain(s)","Raymond Mastrotto","mountain"
"1170","18",1967-07-19,206.5,"Plain stage","Marino Basso","flat"
"1171","19",1967-07-20,217,"Plain stage","Jean Stablinski","flat"
"1172","20",1967-07-21,222,"Stage with mountain(s)","Felice Gimondi","mountain"
"1173","21",1967-07-22,359,"Plain stage","Paul Lemeteyer","flat"
"1174","22a",1967-07-23,104,"Plain stage","René Binggeli","flat"
"1175","22b",1967-07-23,46.6,"Individual time trial","Raymond Poulidor","time trial"
"1176","1",1966-06-21,209,"Plain stage","Rudi Altig","flat"
"1177","2",1966-06-22,198,"Plain stage","Guido Reybrouck","flat"
"1178","3a",1966-06-23,21,"Team time trial","Televizier–Batavus","time trial"
"1179","3b",1966-06-23,131,"Plain stage","Gerben Karstens","flat"
"1180","4",1966-06-24,205,"Plain stage","Willy Planckaert","flat"
"1181","5",1966-06-25,178,"Plain stage","Franco Bitossi","flat"
"1182","6",1966-06-26,217,"Plain stage","Edward Sels","flat"
"1183","7",1966-06-27,252,"Plain stage","Albert Van Vlierberghe","flat"
"1184","8",1966-06-28,138,"Plain stage","Willy Planckaert","flat"
"1185","9",1966-06-29,201,"Plain stage","Gerben Karstens","flat"
"1186","10",1966-06-30,234,"Stage with mountain(s)","Tommaso de Pra","mountain"
"1187","11",1966-07-01,188,"Stage with mountain(s)","Guido Marcello Mugnaini","mountain"
"1188","12",1966-07-03,219,"Stage with mountain(s)","Rudi Altig","mountain"
"1189","13",1966-07-04,191,"Plain stage","Georges Vandenberghe","flat"
"1190","14a",1966-07-05,144,"Plain stage","Jo de Roo","flat"
"1191","14b",1966-07-05,20,"Individual time trial","Raymond Poulidor","time trial"
"1192","15",1966-07-06,203,"Stage with mountain(s)","Luís Otano","mountain"
"1193","16",1966-07-07,148,"Stage with mountain(s)","Julio Jiménez","mountain"
"1194","17",1966-07-08,160,"Stage with mountain(s)","Franco Bitossi","mountain"
"1195","18",1966-07-10,188,"Stage with mountain(s)","Edy Schutz","mountain"
"1196","19",1966-07-11,265,"Stage with mountain(s)","Ferdinand Bracke","mountain"
"1197","20",1966-07-12,223,"Plain stage","Henk Nijdam","flat"
"1198","21",1966-07-13,232,"Plain stage","Pierre Beuffeuil","flat"
"1199","22a",1966-07-14,111,"Plain stage","Edward Sels","flat"
"1200","22b",1966-07-14,51,"Individual time trial","Rudi Altig","time trial"
"1201","1a",1965-06-22,149,"Plain stage","Rik Van Looy","flat"
"1202","1b",1965-06-22,22.5,"Team time trial","Ford France–Gitane","time trial"
"1203","2",1965-06-23,200.5,"Plain stage","Bernard Van De Kerkhove","flat"
"1204","3",1965-06-24,240,"Plain stage","Felice Gimondi","flat"
"1205","4",1965-06-25,227,"Plain stage","Edgard Sorgeloos","flat"
"1206","5a",1965-06-26,147,"Plain stage","Cees van Espen","flat"
"1207","5b",1965-06-26,26.7,"Individual time trial","Raymond Poulidor","time trial"
"1208","6",1965-06-27,210.5,"Plain stage","Guido Reybroeck","flat"
"1209","7",1965-06-28,219,"Plain stage","Edward Sels","flat"
"1210","8",1965-06-29,197.5,"Plain stage","Johan de Roo","flat"
"1211","9",1965-06-30,226.5,"Stage with mountain(s)","Julio Jiménez","mountain"
"1212","10",1965-07-01,222.5,"Stage with mountain(s)","Guido Reybroeck","mountain"
"1213","11",1965-07-02,240.5,"Stage with mountain(s)","José Perez-Frances","mountain"
"1214","12",1965-07-04,219,"Plain stage","Jan Janssen","flat"
"1215","13",1965-07-05,164,"Plain stage","Adriano Durante","flat"
"1216","14",1965-07-06,173,"Stage with mountain(s)","Raymond Poulidor","mountain"
"1217","15",1965-07-07,167.5,"Stage with mountain(s)","Giuseppe Fezzardi","mountain"
"1218","16",1965-07-08,177,"Stage with mountain(s)","Joaquim Galera","mountain"
"1219","17",1965-07-09,193.5,"Stage with mountain(s)","Julio Jiménez","mountain"
"1220","18",1965-07-10,26.9,"Mountain time trial","Felice Gimondi","time trial"
"1221","19",1965-07-11,165,"Stage with mountain(s)","Rik Van Looy","mountain"
"1222","20",1965-07-12,198.5,"Plain stage","Michael Wright","flat"
"1223","21",1965-07-13,225.5,"Plain stage","Gerben Karstens","flat"
"1224","22",1965-07-14,37.8,"Individual time trial","Felice Gimondi","time trial"
"1225","1",1964-06-22,215,"Plain stage","Edward Sels","flat"
"1226","2",1964-06-23,208,"Plain stage","André Darrigade","flat"
"1227","3a",1964-06-24,197,"Plain stage","Bernard Vandekerkhove","flat"
"1228","3b",1964-06-24,21,"Team time trial","Kas–Kaskol","time trial"
"1229","4",1964-06-25,292,"Plain stage","Rudi Altig","flat"
"1230","5",1964-06-26,161,"Plain stage","Willy Derboven","flat"
"1231","6",1964-06-27,200,"Plain stage","Henk Nijdam","flat"
"1232","7",1964-06-28,195,"Plain stage","Jan Janssen","flat"
"1233","8",1964-06-29,249,"Stage with mountain(s)","Federico Bahamontes","mountain"
"1234","9",1964-06-30,239,"Stage with mountain(s)","Jacques Anquetil","mountain"
"1235","10a",1964-07-01,187,"Plain stage","Jan Janssen","flat"
"1236","10b",1964-07-01,21,"Individual time trial","Jacques Anquetil","time trial"
"1237","11",1964-07-02,250,"Plain stage","Edward Sels","flat"
"1238","12",1964-07-03,174,"Plain stage","Jo de Roo","flat"
"1239","13",1964-07-04,170,"Stage with mountain(s)","Julio Jiménez","mountain"
"1240","14",1964-07-06,186,"Stage with mountain(s)","Edward Sels","mountain"
"1241","15",1964-07-07,203,"Stage with mountain(s)","Raymond Poulidor","mountain"
"1242","16",1964-07-08,197,"Stage with mountain(s)","Federico Bahamontes","mountain"
"1243","17",1964-07-09,43,"Individual time trial","Jacques Anquetil","time trial"
"1244","18",1964-07-10,187,"Plain stage","André Darrigade","flat"
"1245","19",1964-07-11,215,"Plain stage","Edward Sels","flat"
"1246","20",1964-07-12,217,"Stage with mountain(s)","Julio Jiménez","mountain"
"1247","21",1964-07-13,311,"Plain stage","Jean Stablinski","flat"
"1248","22a",1964-07-14,119,"Plain stage","Benoni Beheyt","flat"
"1249","22b",1964-07-14,27,"Individual time trial","Jacques Anquetil","time trial"
"1250","1",1963-06-23,152,"Plain stage","Eddy Pauwels","flat"
"1251","2a",1963-06-24,186,"Plain stage","Rik Van Looy","flat"
"1252","2b",1963-06-24,22,"Team time trial","Pelforth–Sauvage–Lejeune","time trial"
"1253","3",1963-06-25,223,"Plain stage","Seamus Elliott","flat"
"1254","4",1963-06-26,236,"Plain stage","Frans Melckenbeeck","flat"
"1255","5",1963-06-27,285,"Plain stage","Antonio Bailetti","flat"
"1256","6a",1963-06-28,118,"Plain stage","Roger de Breuker","flat"
"1257","6b",1963-06-28,25,"Individual time trial","Jacques Anquetil","time trial"
"1258","7",1963-06-29,236,"Plain stage","Jan Janssen","flat"
"1259","8",1963-06-30,232,"Plain stage","Rik Van Looy","flat"
"1260","9",1963-07-01,202,"Plain stage","Pino Cerami","flat"
"1261","10",1963-07-02,148,"Stage with mountain(s)","Jacques Anquetil","mountain"
"1262","11",1963-07-03,131,"Stage with mountain(s)","Guy Ignolin","mountain"
"1263","12",1963-07-04,173,"Stage with mountain(s)","André Darrigade","mountain"
"1264","13",1963-07-05,234,"Plain stage","Rik Van Looy","flat"
"1265","14",1963-07-07,237,"Plain stage","Guy Ignolin","flat"
"1266","15",1963-07-08,174,"Stage with mountain(s)","Federico Bahamontes","mountain"
"1267","16",1963-07-09,202,"Stage with mountain(s)","Fernando Manzaneque","mountain"
"1268","17",1963-07-10,228,"Stage with mountain(s)","Jacques Anquetil","mountain"
"1269","18",1963-07-11,225,"Stage with mountain(s)","Frans Brands","mountain"
"1270","19",1963-07-12,54,"Individual time trial","Jacques Anquetil","time trial"
"1271","20",1963-07-13,234,"Plain stage","Roger de Breuker","flat"
"1272","21",1963-07-14,185,"Plain stage","Rik Van Looy","flat"
"1273","1",1962-06-24,253,"Plain stage","Rudi Altig","flat"
"1274","2a",1962-06-25,147,"Plain stage","André Darrigade","flat"
"1275","2b",1962-06-25,23,"Team time trial","Faema–Flandria–Clement","time trial"
"1276","3",1962-06-26,210,"Plain stage","Rudi Altig","flat"
"1277","4",1962-06-27,196.5,"Plain stage","Willy Vanden Berghen","flat"
"1278","5",1962-06-28,215,"Plain stage","Emile Daems","flat"
"1279","6",1962-06-29,235.5,"Plain stage","Robert Cazala","flat"
"1280","7",1962-06-30,201,"Plain stage","Huub Zilverberg","flat"
"1281","8a",1962-07-01,155,"Plain stage","Mario Minieri","flat"
"1282","8b",1962-07-01,43,"Individual time trial","Jacques Anquetil","time trial"
"1283","9",1962-07-02,214,"Plain stage","Antonio Bailetti","flat"
"1284","10",1962-07-03,184.5,"Plain stage","Willy Vannitsen","flat"
"1285","11",1962-07-04,155.5,"Plain stage","Eddy Pauwels","flat"
"1286","12",1962-07-05,207.5,"Stage with mountain(s)","Robert Cazala","mountain"
"1287","13",1962-07-06,18.5,"Mountain time trial","Federico Bahamontes","time trial"
"1288","14",1962-07-07,215,"Stage with mountain(s)","Jean Stablinski","mountain"
"1289","15",1962-07-08,196.5,"Plain stage","Willy Vannitsen","flat"
"1290","16",1962-07-09,185,"Plain stage","Emile Daems","flat"
"1291","17",1962-07-10,201,"Plain stage","Rudi Altig","flat"
